[00:00:00,000 --> 00:00:03,900] Hello 大家好 欢迎回到我们金贵的关系2.0的课程
[00:15:50,010 --> 00:15:54,570] 那她自己呢在科技行业里面拿到的工资可能就是两三万一个月
[00:15:54,570 --> 00:15:56,710] 但是呢她跟这个女孩子在一起的时候
[00:15:56,710 --> 00:15:59,910] 她就可以特别的照顾这个女生的感受
[00:15:59,910 --> 00:16:01,750] 你说她有没有一点点说
[00:16:01,750 --> 00:16:05,890] 哎呀我跟这个女生在一起可以少奋斗十年的这种意识呢
[00:16:05,890 --> 00:16:07,850] 我觉得有也很正常
[00:16:07,850 --> 00:16:09,210] 但是呢她有归有
[00:16:09,210 --> 00:16:11,290] 她也付出了很多的东西
[00:16:11,290 --> 00:16:14,810] 比如说她的时间是围绕着这个家庭来转的
[00:16:14,810 --> 00:16:16,270] 她的包容度更强
[00:16:16,270 --> 00:16:22,030] 然后他对于家庭和小孩都会非常尽心尽力的去带去照顾
[00:16:22,030 --> 00:16:27,210] 那这些东西我觉得这个男生他就会显得比我那个闺蜜还要上心很多
[00:16:27,210 --> 00:16:30,170] 而且呢因为他本身是一个智商很高的人
[00:16:30,170 --> 00:16:34,250] 所以呢他有的时候跟着我闺蜜一起出去开会啊谈事的时候啊
[00:16:34,250 --> 00:16:36,490] 他在听到他讲一些业务上的东西的时候
[00:16:36,490 --> 00:16:41,990] 他能够非常快速的去吸收到那些知识
[00:16:41,990 --> 00:16:45,850] 然后呢最后他不仅仅能够把一些原来很陌生的领域
[00:16:45,850 --> 00:16:48,970] 现在都能够去跟我的闺蜜两个人去进行沟通
[00:16:48,970 --> 00:16:52,450] 聊天那么他们的交流也变得非常非常的同频
[00:16:52,450 --> 00:16:55,170] 甚至于有的时候还能够去给他出模画册
[00:16:55,170 --> 00:16:59,090] 那这个其实才是我们想要的那种更为高阶的情绪价值嘛
[00:16:59,090 --> 00:17:00,290] 我再举一个例子啊
[00:17:00,290 --> 00:17:02,290] 就是有一个年入百万的女生
[00:17:02,290 --> 00:17:05,350] 那她的老公的年收入大概是在20万左右
[00:17:05,350 --> 00:17:07,770] 这个女生她就是一个工作狂
[00:17:07,770 --> 00:17:09,550] 是一个在职场有能力的人
[00:17:09,550 --> 00:17:12,930] 但是呢她的这个老公呢就是非常咸鱼的一个状态
[00:17:12,930 --> 00:17:14,910] 那最近呢她就出现了一个问题
[00:17:14,910 --> 00:17:18,010] 就是因为工作过于的忙碌,压力过大
[00:17:18,010 --> 00:17:21,610] 导致她怀孕以后两个月的时候就没有保住
[00:17:21,610 --> 00:17:22,870] 那在这种情况下
[00:17:22,870 --> 00:17:26,030] 她老公就完全没有像其他男人一样
[00:17:26,030 --> 00:17:28,710] 好像很愤怒啊,宣泄自己的情绪啊
[00:17:28,710 --> 00:17:30,430] 说都是因为你工作这么忙
[00:17:30,430 --> 00:17:33,390] 所以说才这么不小心孩子没保住之类的
[00:17:33,390 --> 00:17:35,910] 相反,她的老公没有任何的埋怨
[00:17:35,910 --> 00:17:38,510] 然后呢就非常非常的体谅她
[00:17:38,510 --> 00:17:41,170] 然后也很照顾她的身体状况
[00:17:41,170 --> 00:17:42,590] 到了现在呢
[00:17:42,590 --> 00:17:45,190] 他想要去另外一个城市去工作
[00:17:45,190 --> 00:17:48,390] 本来他老公并没有那么想去那个地方
[00:17:48,390 --> 00:17:50,650] 可是呢他也完全是一副就是
[00:17:50,650 --> 00:17:53,490] 你决定那么我就跟随你的决定
[00:17:53,490 --> 00:17:54,770] 我支持你的决定
[00:17:54,770 --> 00:17:57,290] 你去哪我就去哪的这么一个姿态
[00:17:57,290 --> 00:18:00,470] 那像这样的男生跟这样的女生之间的搭配
[00:18:00,470 --> 00:18:02,630] 我认为也是非常非常好的
[00:18:02,630 --> 00:18:06,530] 他也会给到女生很大的安全感和情绪价值
[00:18:06,530 --> 00:18:09,910] 以上呢就是娶老公的两个标准
[00:18:09,910 --> 00:18:13,230] 那什么样的老公我是不建议大家娶呢
[00:18:13,230 --> 00:18:16,610] 我认为蝴蝶男就不太能够要
[00:18:16,610 --> 00:18:17,970] 什么叫蝴蝶男呢
[00:18:17,970 --> 00:18:19,390] 就是这个男的吧
[00:18:19,390 --> 00:18:20,530] 他正的不多
[00:18:20,530 --> 00:18:23,330] 然后每天还跟个花蝴蝶似的
[00:18:23,330 --> 00:18:25,170] 他打扮的花枝招展
[00:18:25,170 --> 00:18:26,210] 那这样的男人呢
[00:18:26,210 --> 00:18:28,550] 其实不太会给你带来安全感
[00:18:28,550 --> 00:18:29,430] 大家可以想一想
[00:18:29,430 --> 00:18:31,570] 一个男的他每天搞的花枝招展
[00:18:31,570 --> 00:18:33,010] 满身都是奢侈品
[00:18:33,010 --> 00:18:33,550] 往往呢
[00:18:33,550 --> 00:18:36,830] 可能就意味着他非常非常的喜欢社交
[00:18:36,830 --> 00:18:39,670] 否则他要堆砌这些奢侈品在身上干什么呢
[00:18:39,670 --> 00:18:41,170] 她都没有地方展现
[00:18:41,170 --> 00:18:42,710] 她是在取悦自己吗
[00:18:42,710 --> 00:18:44,550] 难道不太可能啊
[00:18:44,550 --> 00:18:45,930] 那这些奢侈品最后呢
[00:18:45,930 --> 00:18:48,230] 就会形成她去招风引蝶
[00:18:48,230 --> 00:18:50,210] 勾搭别的女生的工具
[00:18:50,210 --> 00:18:51,430] 那天呢我们有一个联麦
[00:18:51,430 --> 00:18:52,270] 就是有一个姐妹
[00:18:52,270 --> 00:18:55,850] 她说她一个人养活了她老公全家
[00:18:55,850 --> 00:18:58,090] 然后她在纠结要不要离婚
[00:18:58,090 --> 00:18:59,710] 我当时就觉得特别奇怪
[00:18:59,710 --> 00:19:02,650] 我说如果她养活全家的话
[00:19:02,650 --> 00:19:06,790] 那那一家子的人应该都对她非常非常的好啊
[00:19:06,790 --> 00:19:07,230] 可是呢
[00:19:07,230 --> 00:19:09,990] 他去说他老公每天都在家玩游戏
[00:19:09,990 --> 00:19:13,950] 不上班 不做家务 不带孩子 啥也不管
[00:19:13,950 --> 00:19:17,150] 什么东西都是要让这个女生自己来操劳
[00:19:17,150 --> 00:19:19,610] 他的公公婆婆也是什么都不管
[00:19:19,610 --> 00:19:21,590] 而且还经常打压他
[00:19:21,590 --> 00:19:23,190] 又特别不能理解
[00:19:23,190 --> 00:19:25,890] 我说如果你能养活那么一大家子人
[00:19:25,890 --> 00:19:29,290] 那么你应该是可以采取经济制裁的
[00:19:29,290 --> 00:19:31,230] 你表现的好 我就给你们多给
[00:19:31,230 --> 00:19:34,170] 表现的不好 那么我就收敛你的财务
[00:19:34,170 --> 00:19:36,890] 因为他说他们有一个共同账户
[00:19:36,890 --> 00:19:40,810] 他把他自己赚的所有的钱都打进了那个共同账户
[00:19:40,810 --> 00:19:45,110] 然后他们那一家子的人都可以随意的去取用他的钱
[00:19:45,110 --> 00:19:47,890] 我说那你不把你的钱给他们用不就完了吗
[00:19:47,890 --> 00:19:50,250] 结果他就非常非常软弱的跟我说
[00:19:50,250 --> 00:19:53,650] 可是我老公是那种从头到脚都要穿LV的人
[00:19:53,650 --> 00:19:55,150] 如果我不把钱放在那儿
[00:19:55,150 --> 00:19:56,750] 他就没有钱买衣服了
[00:19:57,170 --> 00:19:58,790] 那我都无语了
[00:19:58,790 --> 00:20:00,610] 我说这个男的又要吃晚饭
[00:20:00,610 --> 00:20:01,610] 还要买奢侈品
[00:20:01,610 --> 00:20:03,130] 天天在家里啥也不干
[00:20:03,130 --> 00:20:05,570] 还要让公婆PUA自己的老婆
[00:20:05,570 --> 00:20:08,090] 那你们说这种老公能要吗
[00:20:08,690 --> 00:20:10,470] 那接下来呢我们就来讲一讲
[00:20:10,470 --> 00:20:14,750] 如何让自己和老公的关系变得长期稳定
[00:20:14,750 --> 00:20:17,510] 首先呢第一点就是要制定规矩
[00:20:17,510 --> 00:20:20,650] 我不想干的事儿都由你来干
[00:20:20,650 --> 00:20:23,450] 姐妹们记住任何事情只要你不想做
[00:20:23,450 --> 00:20:24,970] 那么你就让他做
[00:20:24,970 --> 00:20:26,770] 千万不要觉得我说过了
[00:20:26,770 --> 00:20:28,090] 但是他不想做
[00:20:28,090 --> 00:20:29,710] 那老掰是好烦
[00:20:29,710 --> 00:20:31,410] 还是我自己去吧
[00:20:31,410 --> 00:20:33,990] No No No 永远都不要这样
[00:20:33,990 --> 00:20:35,910] 只要你不想干这件事
[00:20:35,910 --> 00:20:37,210] 你就让他干
[00:20:37,210 --> 00:20:38,870] 比如说呢你们俩一起出去的时候
[00:20:38,870 --> 00:20:42,430] 你能带他去体验一些更好的更高规格的生活
[00:20:42,430 --> 00:20:44,730] 那么他把你带出去的时候呢
[00:20:44,730 --> 00:20:47,130] 你在他的朋友面前也给足他面子
[00:20:47,130 --> 00:20:49,090] 让他觉得你的价值非常高
[00:20:49,090 --> 00:20:52,590] 那回到家里两个人关起门来的时候
[00:20:52,590 --> 00:20:55,770] 你就应该尽可能的开口去提要求
[00:20:55,770 --> 00:20:57,570] 宝宝你帮我拿杯水
[00:20:57,570 --> 00:21:00,270] 老公我肚子饿了你帮我做饭呗
[00:21:00,270 --> 00:21:03,430] 老公外卖来了 你帮我去拿呗 等等
[00:21:03,430 --> 00:21:06,950] 你要开始一二三四五的 慢慢让他去做这些事
[00:21:06,950 --> 00:21:08,970] 毕竟呢 看起来都是小事
[00:21:08,970 --> 00:21:11,390] 那么你作为一个成功的事业型的女性
[00:21:11,390 --> 00:21:13,750] 你可能会觉得我懒得掰扯啊
[00:21:13,750 --> 00:21:15,330] 没必要去提这些小事
[00:21:15,330 --> 00:21:19,930] 可是呢 男人呢 他就是从这些小事情当中
[00:21:19,930 --> 00:21:22,130] 慢慢的去顺从你的
[00:21:22,130 --> 00:21:25,590] 你给他的权限放的越多 那么他就会去试探
[00:21:25,590 --> 00:21:28,510] 然后让他自己的权限变得越来越大
[00:21:28,510 --> 00:21:30,490] 直到有一天你不想忍了的時候
[00:21:30,490 --> 00:21:32,670] 那這個關係其實它直接就崩掉了
[00:21:32,670 --> 00:21:34,790] 雖然說呢你可以把它踹掉
[00:21:34,790 --> 00:21:37,410] 可是呢我相信很多很多的事業型女性
[00:21:37,410 --> 00:21:40,110] 你們也是希望這樣關係更穩定的
[00:21:40,110 --> 00:21:41,310] 因為穩定的大後方
[00:21:41,310 --> 00:21:44,370] 它也能讓你在前端更好地去重視你
[00:21:44,370 --> 00:21:47,690] 所以說呢我們對於這樣的男爹女高的關係
[00:21:47,690 --> 00:21:49,390] 我們也需要去經營
[00:21:49,390 --> 00:21:52,590] 那麼我們呢就從小事情開始去給它立規矩
[00:21:52,590 --> 00:21:54,070] 讓它清清楚楚的明白
[00:21:54,070 --> 00:21:56,750] 你是實質高位是經濟高位
[00:21:56,750 --> 00:21:59,450] 那么他需要更多的来为你做服务
[00:21:59,450 --> 00:22:01,250] 那么你们之间的这种相处模式
[00:22:01,250 --> 00:22:04,250] 一旦形成了让你舒适的关系之后呢
[00:22:04,250 --> 00:22:06,630] 那么这段关系其实它能变得更稳定
[00:22:06,630 --> 00:22:07,650] 更长久
[00:22:07,650 --> 00:22:09,630] 那我身边就有一个这样的闺蜜啊
[00:22:09,630 --> 00:22:11,010] 她呢就是一个富二代
[00:22:11,010 --> 00:22:12,270] 平时呢也不工作
[00:22:12,270 --> 00:22:14,270] 也不提供什么具体的价值
[00:22:14,270 --> 00:22:16,910] 但是呢她每天就是要别人围着自己转
[00:22:16,910 --> 00:22:18,450] 她每次谈恋爱的时候
[00:22:18,450 --> 00:22:20,610] 她就要每天给别人立80个规矩
[00:22:20,610 --> 00:22:22,770] 比如说你现在是开会还是在出差
[00:22:22,770 --> 00:22:24,310] 她都得让你去接她
[00:22:24,310 --> 00:22:25,590] 再比如你现在接电话
[00:22:25,590 --> 00:22:26,390] 无论你在干嘛
[00:22:26,390 --> 00:22:27,230] 你都得接
[00:22:27,230 --> 00:22:28,570] 如果你不接她电话
[00:22:28,570 --> 00:22:29,950] 那么她就会轰炸你啊
[00:22:29,950 --> 00:22:30,550] 结果呢
[00:22:30,550 --> 00:22:32,590] 很多男人在跟她谈了一段时间之后啊
[00:22:32,590 --> 00:22:33,650] 就崩了
[00:22:33,650 --> 00:22:35,650] 直到有一天她阴差阳错的
[00:22:35,650 --> 00:22:36,790] 就找到了一个男朋友
[00:22:36,790 --> 00:22:39,110] 她进了那个男朋友的公司工作
[00:22:39,110 --> 00:22:40,150] 没想到呢
[00:22:40,150 --> 00:22:43,590] 这个男朋友就激发了她从商的天赋
[00:22:43,590 --> 00:22:47,230] 她居然把她男朋友的公司有亏为赢了
[00:22:47,230 --> 00:22:48,950] 因为她其实是一个
[00:22:48,950 --> 00:22:52,990] 有着商人的基因和血统的这样一个女生
[00:22:52,990 --> 00:22:54,850] 其实她是有天赋的
[00:22:54,850 --> 00:23:00,450] 然后呢就导致他这个男朋友对他产生了一些非常非常真实的需求
[00:23:00,450 --> 00:23:04,530] 于是呢他在这段关系里就处理的极为顺畅
[00:23:04,530 --> 00:23:08,870] 以前他在其他的关系里有的那些无理取闹的那些诉求
[00:23:08,870 --> 00:23:10,790] 到了这段关系里的时候
[00:23:10,790 --> 00:23:14,170] 反而他的男朋友就会无限的去满足他
[00:23:14,170 --> 00:23:18,290] 其实就是因为他给他男朋友提供了一个巨大的价值在托底
[00:23:18,290 --> 00:23:20,730] 他们俩的关系就处得无比的顺畅
[00:23:20,730 --> 00:23:24,090] 所以说呢如果一个人真的很需要你的价值的时候
[00:23:24,090 --> 00:23:27,190] 你从一开始就要给他去树立框架
[00:23:27,190 --> 00:23:30,050] 那么他可能刚开始会有一点点反抗
[00:23:30,050 --> 00:23:33,170] 可是逐渐逐渐的如果他真的很需要你的价值
[00:23:33,170 --> 00:23:35,870] 他最终一定还是会去适应你的框架的
[00:23:35,870 --> 00:23:38,130] 这个其实就是跟我们公司员工一样
[00:23:38,130 --> 00:23:41,490] 如果说公司的员工他真的很需要这份工作
[00:23:41,490 --> 00:23:42,830] 很需要这个老板
[00:23:42,830 --> 00:23:45,970] 那么他就会一点一滴的试着去
[00:23:45,970 --> 00:23:49,150] 按照这个老板的要求来要求自己的动作
[00:23:49,150 --> 00:23:53,030] 好 那接下来我们来看第二点就是经济制裁
[00:23:53,030 --> 00:23:54,270] 这个非常容易理解
[00:23:54,270 --> 00:23:56,230] 就是当男人听话的时候
[00:23:56,230 --> 00:23:57,610] 你可以多跟他给一点钱
[00:23:57,610 --> 00:23:58,090] 对吧
[00:23:58,090 --> 00:23:59,510] 如果当他犯错误了
[00:23:59,510 --> 00:24:00,870] 那么你就可以减少
[00:24:00,870 --> 00:24:02,910] 或者是冻结他的家庭支出
[00:24:02,910 --> 00:24:04,290] 但是我觉得经济制裁
[00:24:04,290 --> 00:24:06,390] 这个手段还是要慎重
[00:24:06,390 --> 00:24:08,910] 因为这件事情其实还蛮伤自尊的
[00:24:08,910 --> 00:24:10,590] 一个男人花女人的钱
[00:24:10,590 --> 00:24:12,090] 这件事对他而言
[00:24:12,090 --> 00:24:15,150] 本身就是在违背男性的
[00:24:15,150 --> 00:24:16,570] 这种本能的一件事
[00:24:16,570 --> 00:24:19,210] 他就是有一点点在降低自尊的
[00:24:19,210 --> 00:24:20,310] 那如果这个时候
[00:24:20,310 --> 00:24:21,990] 你动不动的就经济制裁
[00:24:21,990 --> 00:24:23,970] 那么就更加去打压他了
[00:24:23,970 --> 00:24:26,570] 那么你们的感情到最后很有可能也会以
[00:24:26,570 --> 00:24:30,230] 这个男生实在是接受不了了而告终
[00:24:30,230 --> 00:24:31,050] 就好像呢
[00:24:31,050 --> 00:24:32,550] 《再见爱人》第三季的时候
[00:24:32,550 --> 00:24:33,330] 你们记得吗
[00:24:33,330 --> 00:24:34,350] 那个副手腕
[00:24:34,350 --> 00:24:36,690] 当时就是让他老公每天报账
[00:24:36,690 --> 00:24:38,450] 每天具体花了多少钱
[00:24:38,450 --> 00:24:39,450] 每一棵菜
[00:24:39,450 --> 00:24:41,330] 具体当每一每块钱
[00:24:41,330 --> 00:24:42,890] 可能都要写的一清二楚
[00:24:42,890 --> 00:24:45,870] 那当你管这个钱管得这么死的时候
[00:24:45,870 --> 00:24:48,690] 那么你们之间是一定会出现情感问题的
[00:24:48,690 --> 00:24:51,250] 所以说在平时的一些小的问题上面呢
[00:24:51,250 --> 00:24:52,830] 主要还是正常提要求
[00:24:52,830 --> 00:24:55,410] 或者说你该发脾气你就发脾气就好了
[00:24:55,410 --> 00:24:57,610] 但是遇到了重大问题的时候
[00:24:57,610 --> 00:25:00,530] 如果出现了不可调和的状态
[00:25:00,530 --> 00:25:03,230] 他已经分不清谁是大小王了
[00:25:03,230 --> 00:25:05,730] 这个时候你再去进行经济制裁
[00:25:05,730 --> 00:25:08,290] 才是一个相对来说比较好的生活节奏
[00:25:08,290 --> 00:25:11,410] 我们呢也需要给男人一定的尊严
[00:25:11,410 --> 00:25:14,350] 让他花钱呢也还花得比较心安理得
[00:25:14,350 --> 00:25:15,410] 比较舒服
[00:25:15,410 --> 00:25:17,970] 他才有可能为你和这个家庭
[00:25:17,970 --> 00:25:20,710] 做出更大的让步和服务
[00:25:21,270 --> 00:25:24,190] 我知道很多很多的姐妹在变得很有钱了之后
[00:25:24,190 --> 00:25:26,090] 还是会担心一件事儿
[00:25:26,090 --> 00:25:27,630] 那就是伴侣的背叛
[00:25:27,630 --> 00:25:30,190] 尤其是进入到婚姻关系之后的背叛
[00:25:30,190 --> 00:25:33,630] 那这种财力心力的双重背叛
[00:25:33,630 --> 00:25:36,310] 对人的打击是特别特别的大的
[00:25:36,310 --> 00:25:38,750] 所以呢我在这里也要教大家两招
[00:25:38,750 --> 00:25:41,570] 最大程度的减少背叛的可能性
[00:25:41,570 --> 00:25:43,190] 以及带给你的损失
[00:25:43,190 --> 00:25:45,430] 第一呢就是如果要结婚
[00:25:45,430 --> 00:25:48,770] 那么我就希望大家一定要去签婚前协议
[00:25:48,770 --> 00:25:52,970] 说实话,女人呢肯定还是有一定天然的劣势的
[00:25:52,970 --> 00:25:56,790] 因为女人终其一生她总是在追逐感情
[00:25:56,790 --> 00:25:58,930] 无论她经手了多少个男人
[00:25:58,930 --> 00:26:01,090] 无论她从男人身上得到了多少
[00:26:01,090 --> 00:26:04,390] 她还是会觉得我想找一个男人结婚
[00:26:04,390 --> 00:26:06,390] 所以这个时候你一定要拎的清
[00:26:06,390 --> 00:26:08,590] 跟男性富豪是一样的
[00:26:08,590 --> 00:26:10,490] 财产的部分要搞清楚
[00:26:10,490 --> 00:26:12,290] 不要因为感情的上头
[00:26:12,290 --> 00:26:15,210] 让自己经济蒙受巨大损失
[00:26:15,210 --> 00:26:17,370] 该签的协议一定要签
[00:26:17,370 --> 00:26:21,150] 该做的财产隔离和保护也一定要做
[00:26:21,150 --> 00:26:23,450] 在钱的维度上保持理性
[00:26:23,450 --> 00:26:27,970] 你才能真正的投入到一段美好的婚恋关系里
[00:26:27,970 --> 00:26:33,230] 第二 任何时候都不要用纯粹的爱去理解人际关系
[00:26:33,230 --> 00:26:34,370] 可能像我们这样的人
[00:26:34,370 --> 00:26:36,310] 别人听起来会觉得很可悲
[00:26:36,310 --> 00:26:38,790] 觉得人跟人之间都是有真感情的
[00:26:38,790 --> 00:26:40,010] 但是呢在我们看来
[00:26:40,010 --> 00:26:43,570] 人跟人之间它其实存在的更多的是权利义务
[00:26:43,570 --> 00:26:47,210] 你有多少义务你就要行使多少权利
[00:26:47,210 --> 00:26:50,130] 如果你总是用爱去解释一些事的时候
[00:26:50,130 --> 00:26:54,970] 那么你的脑子里其实是没有进行价值的衡量的
[00:26:54,970 --> 00:26:57,830] 你总是会给对方不清晰的位置
[00:26:57,830 --> 00:27:00,990] 然后对方就会去索要不匹配的价值
[00:27:00,990 --> 00:27:04,070] 最后呢你跟这个人把关系玩废掉了
[00:27:04,070 --> 00:27:06,170] 你自己其实也是难受的
[00:27:06,170 --> 00:27:08,630] 甚至于其实很多很多的男的
[00:27:08,630 --> 00:27:10,610] 原本不想占着要的
[00:27:10,610 --> 00:27:14,110] 但是呢他是被这个女生慢慢变成这样的
[00:27:14,110 --> 00:27:18,130] 因为这个女生从来都不好好地行使自己的权利
[00:27:18,130 --> 00:27:20,790] 也不会去要求12345
[00:27:20,790 --> 00:27:22,610] 那这个男的久而久之就会觉得
[00:27:22,610 --> 00:27:24,030] 哎你就是这样的人
[00:27:24,030 --> 00:27:26,470] 那他自然而然的就会去得寸进尺
[00:27:26,470 --> 00:27:28,070] 甚至与狮子大开口
[00:27:28,070 --> 00:27:30,650] 那这个就是我们在一段关系里
[00:27:30,650 --> 00:27:34,050] 没有好好去立规矩的一个后果
[00:27:34,050 --> 00:27:37,010] 我们就算是自己生了孩子
[00:27:37,010 --> 00:27:38,530] 大家可以换为思考一下
[00:27:38,530 --> 00:27:40,230] 你不去立规矩
[00:27:40,230 --> 00:27:42,130] 一味的去溺爱这个小孩
[00:27:42,130 --> 00:27:46,610] 那么这样的家长其实到最后都是没有什么好下场的
[00:27:46,610 --> 00:27:49,550] 说白了连你的孩子都可能会伤害你
[00:27:49,550 --> 00:27:53,410] 更何况是一个跟你没有任何血缘关系的男人呢
[00:27:53,410 --> 00:27:56,870] 所以说纯爱那一套大家一定要慎用
[00:27:56,870 --> 00:27:59,690] 我觉得保护好自己才是王道
[00:27:59,690 --> 00:28:03,030] 好那以上呢就是今天这节课的全部内容了
[00:28:03,030 --> 00:28:05,010] 这个呢就是今天的思维导图
[00:28:05,010 --> 00:28:07,050] 大家如果想要看高清版本的
[00:28:07,050 --> 00:28:08,570] 记得去找你们的群管拿
[00:28:08,570 --> 00:28:09,690] 这节课的作业就是
[00:28:09,690 --> 00:28:13,310] 如果你已经是一个年入百万的小富婆了
[00:28:13,310 --> 00:28:15,110] 你有着娶老公的打算
[00:28:15,110 --> 00:28:16,730] 那么你可以先思考一下
[00:28:16,730 --> 00:28:19,470] 你要给你的老公定下什么规矩呢
[00:28:19,470 --> 00:28:22,190] 把你不想做的事情一一都写下来
[00:28:22,190 --> 00:28:23,390] 交给他来做
[00:28:23,390 --> 00:28:25,190] 然后把你的作业分享到
[00:28:25,190 --> 00:28:28,170] 取新的小程序和金贵的社群
[00:28:28,170 --> 00:28:29,530] 让大家都来看一看
[00:28:29,530 --> 00:28:33,730] 我们大女主是如何来教好自己的老公的
[00:28:33,730 --> 00:28:35,090] 好了 今天这节课就到这儿
[00:28:35,090 --> 00:28:36,030] 我们下期课再见 拜拜
